Language name,Alternate language names,Country,Region,Resource Title,Resource URL,Resource type,,,,,,,,
Sesotho,Sotho,"Lesotho, South Africa, Zimbabwe",Africa,WHO myth busters information,https://covid-no-mb.org/?page_id=132,Web page,,,,,,,,
siSwati,Swazi,"Swaziland, South Africa, Lesotho, Mozambique",Africa,WHO myth busters information,https://covid-no-mb.org/?page_id=135,Web page,,,,,,,,
Tshivenda,Venda,"South Africa, Zimbabwe",Africa,WHO myth busters information,https://covid-no-mb.org/?page_id=137,Web page,,,,,,,,
Ewe,,"Ghana, Togo",Africa,WHO myth busters page,https://covid-no-mb.org/?page_id=361,Web page,,,,,,,,
Norwegian,Norsk,Norway,Europe,WHO myth busters page,https://covid-no-mb.org/?page_id=366,Web page,,,,,,,,
Russian,русский,Russia,Europe,WHO myth busters page,https://covid-no-mb.org/?page_id=368,Web page,,,,,,,,
Basaá,"Bassa, Mbene",Cameroon,Africa,WHO myth busters page,https://covid-no-mb.org/?page_id=370,Web page,,,,,,,,
Drenjongke,"Sikkimese, འབྲས་ལྗོངས་སྐད, Bhutia","India, Nepal, Bhutan",South Asia,WHO myth busters page,https://covid-no-mb.org/?page_id=374,Web page,,,,,,,,
Indonesian,bahasa indonesia,Indonesia,Pacific,WHO myth busters page,https://covid-no-mb.org/?page_id=376,Web page,,,,,,,,
Jinghpaw,"Jingpho, Kachin, ကချင်ဘာသာ",Myanmar,Southeast Asia,WHO myth busters page,https://covid-no-mb.org/?page_id=378,Web page,,,,,,,,
Mizo,Mizo ṭawng,"India, Myanmar",South Asia,WHO myth busters page,https://covid-no-mb.org/?page_id=424,Web page,,,,,,,,
Nuosu Yi,"ꆈꌠꉙ, Nosu, Liangshan Yi",China,East Asia,WHO myth busters page,https://covid-no-mb.org/?page_id=471,Web page,,,,,,,,
Gurenɛ,"Frafra, Farefare","Ghana, Burkina Faso",Africa,WHO myth busters page,https://covid-no-mb.org/?page_id=494,Web page,,,,,,,,
Romanian,Română,Romania,Europe,WHO myth busters page,https://covid-no-mb.org/?page_id=579,Web page,,,,,,,,
Lepcha,Róng ríng,"India, Nepal, Bhutan",South Asia,WHO myth busters page,https://covid-no-mb.org/?page_id=931,Web page,,,,,,,,
Vietnamese,Tiếng Việt,Vietnam,Southeast Asia,"Washington, DC social distance graphic",https://dcforms.dc.gov/sites/default/files/dc/sites/coronavirus/Social-Distancing-VIETNAMESE.png,Image/poster,,,,,,,,
Yorùbá,,Nigeria,Africa,COVID-19 terms sheet,https://docs.google.com/document/d/1gKarxzDiDQ7kZg9Tm1-15lKgKdK-8E6Z7-NbXoi1K-A/edit,,,,,,,,,
Ho,हो जगर,India,South Asia,Translated info sheet from Adivasi Lives Matter,https://docs.google.com/spreadsheets/d/1_1ukDoZe4c5LDC3WDFNLpfTPq91woIp1JES07_9vscM/edit,,,,,,,,,
Marathi,मराठी,India,South Asia,Translated info sheet from Adivasi Lives Matter,https://docs.google.com/spreadsheets/d/1_1ukDoZe4c5LDC3WDFNLpfTPq91woIp1JES07_9vscM/edit,,,,,,,,,
Telugu,తెలుగు,India,South Asia,Translated info sheet from Adivasi Lives Matter,https://docs.google.com/spreadsheets/d/1_1ukDoZe4c5LDC3WDFNLpfTPq91woIp1JES07_9vscM/edit,,,,,,,,,
Bengali,"বাংলা, Bangla","India, Bangladesh",South Asia,Translated info sheet from Adivasi Lives Matter,https://docs.google.com/spreadsheets/d/1_1ukDoZe4c5LDC3WDFNLpfTPq91woIp1JES07_9vscM/edit,,,,,,,,,
Gwich'in,Dinju Zhuh Kʼyuu,"Canada, US",North America,Doyon Foundation blog with translated information and prevention tips</p,https://doyonfoundation.wordpress.com/,Web page,,,,,,,,
Hän,Häł gołan,"Canada, US",North America,Doyon Foundation blog with translated information and prevention tips,https://doyonfoundation.wordpress.com/,Web page,,,,,,,,
Deg Xinag,,US,North America,Doyon Foundation blog with translated information and prevention tips,https://doyonfoundation.wordpress.com/,Web page,,,,,,,,
Denaakk'e,Koyukon,US,North America,Doyon Foundation blog with translated information and prevention tips,https://doyonfoundation.wordpress.com/,Web page,,,,,,,,
Dinak'i,"Upper Kuskokwim, Kolchan, Goltsan",US,North America,Doyon Foundation blog with translated information and prevention tips,https://doyonfoundation.wordpress.com/,Web page,,,,,,,,
